timestamp,event_type,order_id,side,price,quantity
1704067200000000000,ADD,1,BUY,41950.00,1
1704067200000100000,ADD,2,BUY,41950.00,9
1704067200000200000,ADD,3,BUY,41950.50,8
1704067200000300000,ADD,4,BUY,41950.50,5
1704067200000400000,ADD,5,BUY,41950.50,4
1704067200000500000,ADD,6,BUY,41951.00,19
1704067200000600000,ADD,7,BUY,41951.00,14
1704067200000700000,ADD,8,BUY,41951.50,1
1704067200000800000,ADD,9,BUY,41951.50,3
1704067200000900000,ADD,10,BUY,41952.00,8
1704067200001000000,ADD,11,BUY,41952.00,17
1704067200001100000,ADD,12,BUY,41952.00,20
1704067200001200000,ADD,13,BUY,41952.50,18
1704067200001300000,ADD,14,BUY,41952.50,7
1704067200001400000,ADD,15,BUY,41953.00,8
1704067200001500000,ADD,16,BUY,41953.00,15
1704067200001600000,ADD,17,BUY,41953.00,19
1704067200001700000,ADD,18,BUY,41953.00,9
1704067200001800000,ADD,19,BUY,41953.00,1
1704067200001900000,ADD,20,BUY,41953.50,14
1704067200002000000,ADD,21,BUY,41953.50,11
1704067200002100000,ADD,22,BUY,41953.50,9
1704067200002200000,ADD,23,BUY,41954.00,7
1704067200002300000,ADD,24,BUY,41954.00,11
1704067200002400000,ADD,25,BUY,41954.00,4
1704067200002500000,ADD,26,BUY,41954.50,13
1704067200002600000,ADD,27,BUY,41954.50,4
1704067200002700000,ADD,28,BUY,41955.00,12
1704067200002800000,ADD,29,BUY,41955.00,20
1704067200002900000,ADD,30,BUY,41955.00,9
1704067200003000000,ADD,31,BUY,41955.00,2
1704067200003100000,ADD,32,BUY,41955.50,18
1704067200003200000,ADD,33,BUY,41955.50,4
1704067200003300000,ADD,34,BUY,41955.50,13
1704067200003400000,ADD,35,BUY,41955.50,3
1704067200003500000,ADD,36,BUY,41955.50,18
1704067200003600000,ADD,37,BUY,41956.00,20
1704067200003700000,ADD,38,BUY,41956.00,12
1704067200003800000,ADD,39,BUY,41956.00,19
1704067200003900000,ADD,40,BUY,41956.00,7
1704067200004000000,ADD,41,BUY,41956.50,2
1704067200004100000,ADD,42,BUY,41956.50,8
1704067200004200000,ADD,43,BUY,41957.00,3
1704067200004300000,ADD,44,BUY,41957.00,8
1704067200004400000,ADD,45,BUY,41957.00,4
1704067200004500000,ADD,46,BUY,41957.00,13
1704067200004600000,ADD,47,BUY,41957.50,15
1704067200004700000,ADD,48,BUY,41957.50,12
1704067200004800000,ADD,49,BUY,41957.50,6
1704067200004900000,ADD,50,BUY,41957.50,12
1704067200005000000,ADD,51,BUY,41958.00,7
1704067200005100000,ADD,52,BUY,41958.00,9
1704067200005200000,ADD,53,BUY,41958.00,3
1704067200005300000,ADD,54,BUY,41958.00,20
1704067200005400000,ADD,55,BUY,41958.50,18
1704067200005500000,ADD,56,BUY,41958.50,8
1704067200005600000,ADD,57,BUY,41958.50,6
1704067200005700000,ADD,58,BUY,41959.00,13
1704067200005800000,ADD,59,BUY,41959.00,9
1704067200005900000,ADD,60,BUY,41959.00,18
1704067200006000000,ADD,61,BUY,41959.00,8
1704067200006100000,ADD,62,BUY,41959.00,11
1704067200006200000,ADD,63,BUY,41959.50,8
1704067200006300000,ADD,64,BUY,41959.50,2
